ID,text,soc_family
26695839,"commission specialist         skills          business administrator  project manager  data entry  business manager  performance analyst  results-focused, goal oriented, business/financial analyst with extensive experience in the business, nonprofit and health care sectors. mba graduate with a focus on project management and administration. superior analytical and quantitative skills with proficiency in data entry, access, excel, crystal reports and various statistical software.  research & analysis  leadership & supervision  program/policy development  data entry  process improvement  financial cost modeling  report writing  clinical forecasting  trending & troubleshooting  software & tools: ms office 365 (access, excel, outlook, powerpoint, and word), sharepoint, visio, sage act, fastrax pos, crystal reports, lotus notes, microsoft expressions, ima software, stars software, quickbooks, spss, gnu pspp, microsoft dynamics.  advanced access and excel, including building databases, creating forms, pivot tables, t-tests, and standard deviations.              experience      commission specialist     jan 2016   to   current      company name   －   city  ,   state     posts over 300,000 dollars in commissions each month.  reviews and processes commission statements from 15 insurance carriers per week.  posts all commissions with a 99 percent accuracy.  processes adjustments to correct commission errors and/or discrepancies.  analyses excel spreadsheets with thousands of lines of revenue for consistency.  performs monthly reconciliation of cash to the general ledger which is used to calculate the monthly commission payments.  interacts with a variety of brokers and departments in salesforce.  enters over 10 new service lines of coverage and completes 20 tasks per week in salesforce.  inputs or adjusts 20 to 200 commission payment splits in proprietary commission system per month for biweekly revenue distribution.         business and healthcare instructor     jan 2015   to   jan 2016      company name   －   city  ,   state     increased student enrolment by 20% year over year.  improved graduation rate in ma program by 25% with average gpa of 3.0.  assisted placement of 100 students in employed positions as medical assistance, medical coders and it technicians.  edited 100 resumes for consistency, accuracy and relevancy.  taught 125 students in a year data entry, excel, powerpoint and word.  improved accuracy of stars database by 10%.         client specialist     jan 2014   to   jan 2016      company name   －   city  ,   state     attained positive treatment goals for 50 residents over a course of two years above the average.  provided data entry and documentation for 110 case files, both in hard copy and with proprietary database.  networked with over 15 different agencies during tenure, coordinating positive outcomes via long-term goal planning.  coordinated medical treatment for over 50 clients, including the update of charts while working with corporate compliance.         coordinator and grant writer, indiana chapter     jan 2009   to   jan 2012      company name   －   city  ,   state     achieved federal grant eligibility for corporation, the first time for the local chapter.  coordinated 10 teams of 5 in research documentation, data edited research reports.  developed 15 reports in word on research outcomes for chief executive officer.  developed detailed year end budget report for company facilitating sound financial management for the next year.  complied data in excel and processed financials for 4 grant proposals.  networked via email and conference with 10 team leaders and various team members on a daily basis.         pharmacy tech & assistant case manager     jan 2005   to   jan 2008      company name   －   city  ,   state     processed 25 hospital discharges, including proper documentation with phi and corporate compliance.  verified proper documentation for 30 clients while coordinating with record management.  improved billing efficiency by 15% reducing medical insurance claims denials.  processed 20-25 insurance claims per day, including data entry of claims into hospital ehr.  processed 100 prescriptions per day with an accuracy of 99.8%.  down stocked 500 prescriptions during course of employment.  researched 40 charts for applicable documentation, updating as necessary and reporting effective results to management.         education and training      mba  ,   business administration   2012     iona college   －   city  ,   state     business administration       financial accounting
*operations management
*quality management
*quantitative management            ma  ,   public policy   2011     suny emprie state college   －   city  ,   state     public policy policy implementation
*qualitative methods
*quantitative methods
*business compliance
relevant coursework: advanced excel, access, powerpoint, word, project, visio, salesforce, data entry, quantitative tools, innovation management, risk disaster, ambulatory care management, total quality management, operations management
relevant concepts:
*business capability analysis
*data entry
*marketing analysis
*balance scorecard
*swot analysis
*root cause analysis
*microsoft office
*mind mapping
*process modeling
*stakeholder list
*pareto charts
*decision modeling       skills    ambulatory care, analyst, balance, billing, budget, charts, crystal reports, clients, data entry, databases, database, documentation, email, financials, financial, financial accounting, financial analyst, financial management, focus, forecasting, forms, general ledger, grant proposals, innovation, insurance, leadership, lotus notes, ma, marketing analysis, mba, medical assistance, access, microsoft dynamics, excel spreadsheets, excel, microsoft office, ms office, outlook, powerpoint, sharepoint, word, modeling, next, operations management, pivot tables, policy development, pos, processes, process improvement, process modeling, project management, quality management, quickbooks, report writing, reporting, research, research reports, sage, sound, spss, supervision, total quality management, troubleshooting, visio",27-0000
35971546,"construction inspector           professional summary    result-driven certified construction manager in training with over 2 years of significant and progressive experience in construction industry. proven track record in ensuring project deliverables are brought to market in a timely manner.
*strong team leader with proven managerial experience and skills cross functional terms including subcontractors, vendors and suppliers.
*effective problem solver and decision making skills, exceptional commitment to quality and customer satisfaction. excellent presentation/ communication, negotiation and persuasion skills.      core qualifications          primavera p6  digitizer  site safety/osha compliance  microsoft project  plan swift 9  qa/qc/field engineering  autocad  revit (bim)  micro station v8i  microsoft office  report writing  interpersonal/communication              experience      construction inspector    november 2015   to   current     company name   －   city  ,   state      provided quality assurance services by performing on-site inspections of material and workmanship as well as performed material testing in accordance to the american society for testing and material (astm) manuals for reinforcing bars as well as concrete.  performed inspections on epoxy anchor/dowels and concrete field technician duties (slump test, temperature, air content and concrete sampling).  tested and inspected construction material, placement and foundation work.  performed reinforcing steel inspections to ensure rebar meets requirements of approved drawings.  performed in-place density tests on various types of soil to determine compaction and moisture content.  established onsite solutions to unforeseen issues found in the field.  performed proctor, sieve and compressive strength tests with senior technician in laboratory.  performed timely inspections reports to engineers and project manager to ensure work meets requirements set by the proper design authority for each specific project.          project engineer    may 2015   to   october 2015     company name   －   city  ,   state      processed, tracked, and distributed submittals and rfis.  managed document control process, including change order, subcontractor billings, field production tracking, purchasing, and contract administration.  coordinated project close-out documentation, including deficiency, warranties, maintenance and final payments.  assisted with documentation of accidents, safety violations, unsafe conditions and activities.  conducted quality control inspections of completed work.  processed vendor invoices, reconciled all monthly subcontractor progress billings, and managed jobsite office.  performed quantity take-offs derived from a thorough understanding of plans and specifications using digitizer.  negotiated and tracked subcontractor contracts, agreements, change orders and insurance.  prepared project schedule in primavera at determined intervals to ensure jobs are being completed on time.  monitored project progress and performed variance analysis in comparison with baseline schedule.  produced significant cost savings, potential cost avoidance, and preventive problem solving through numerous cost saving ideas, suggestions and recommendations.  ensured equipment and material were in accordance with contract drawings and specifications by monitoring and coordinating construction activities.  ensured site safety through comprehensive review of subcontractor safety program.  facilitated communication between the owner and contractor to ensure construction projects were completed on time and within budget.          traffic engineer    january 2013   to   april 2013     company name   －   city        as a traffic engineer was involved in collection and appraisal of data reports, surveys and investigations, conducting various traffic survey analysis and report making.  the main objective of this study is to check the feasibility of outer ring road (orr) from shamirpet to keesara and come up with investment proposal based on future travel demands that would attempt to improve the traffic scenario in the city of hyderabad.  the study include current traffic and transport situation, projecting likely growth in next 20 years and recommendation with regard to new roads and flyovers.  conducted traffic studies, classified traffic volume count, intersection volume count, willingness-to-pay, origin-destination and axle load surveys.  analyzed traffic volume count data, average daily traffic (adt), annual average daily traffic (aadt), o-d matrix, growth rate, traffic demand for normal, diverted and generated traffic projection and calculation of vehicle damage factor (vdf) and equivalent single axle load (esal).  prepared reports, documents and drawings for related features and finalized the location of road and flyovers based on the reports gathered.          project engineer    february 2012   to   october 2012     company name   －   city        oversaw million dollar residential construction project in collaboration with architects, engineers, subcontractors, owners, consultants, and municipalities.  supervised contractors and project timelines, budgets and quality control.  administered construction documentation.  procured and tracked materials, facilitated punch list completion and ensured accuracy and on-time delivery.  lead a team as an engineer responsible for project planning, estimation, contract management and material procurement.  created the baseline schedule and studied acceptable free float and total float for each phase.  evaluated the critical paths in the project schedules and evaluated alternative schedule options to identify optimum project strategies or resolve problems before or during execution.  performed resourceloading and levelling, logic diagrams analysis, critical path looking two weeks ahead, and overall network analysis for senior management decision making.  proposed cost-effective methods, balanced schedules and improved performance through strategic workforce management.  assisted project manager with on-site visits and meetings with sub-contractors.  inspected project sites to monitor progress and ensure conformance to design specifications and safety standards'.  achieved project deadline by managing/scheduling/leading subcontractors.          accomplishments      certifications:.        education      master of science   :   construction engineering and management  ,   may 2016    the university of texas   －   city  ,     usa    gpa:   gpa: 3.54/4.0    construction engineering and management gpa: 3.54/4.0        bachelor of technology   :   civil engineering  ,   may 2013    jawaharlal nehru technological university      india    civil engineering          certifications    construction manager in training(cmit)
license: 184492
*osha 10-hour 
*osha 30-hour      skills    autocad, billings, budgets, budget, interpersonal/communication, construction manager, content, contract management, contract administration, contracts, decision making, delivery, documentation, engineer, senior management, features, insurance, logic, managing, materials, meetings, microsoft office, office, microsoft project, micro station, network analysis, next, primavera, problem solving, material procurement, progress, project planning, proposal, purchasing, quality assurance, qa, quality control, report writing, revit, safety, scheduling, strategic, surveys, swift 9, technician, variance analysis",27-0000
27914096,"finance manager         summary     efficient, dedicated, hard-working financial manager skilled at consistently meeting strict deadlines, paying high attention to detail and effectiveness when reporting to senior management. extensive experience in budgeting, forecasting, strategic planning and analysis.       experience      company name     march 2003   to   current     finance manager   city  ,   state      serving as a business and financial advisor to a portfolio of ten trade show teams by working closely with senior management, industry vice presidents, and sales directors,  as well as the operations, registration, marketing, and conference departments   prepare detailed show budgets, monthly financial forecasts, strategic plan projections, and financial analysis of the p&l's for ten trade shows.  manage these tasks effectively to complete on a timely basis, and within strict deadlines   analyze show revenue and expenses versus budget/forecast and provide analysis on variances.  review general ledger accounts, prepare journal entries and support schedules as needed to discuss findings with show management   perform due diligence for potential business acquisitions, and then prepare and present the financial models to senior management   assist show management with decisions relating to exhibit space, advertising and media product pricing, as well as customer package creation and pricing   review and approve all purchase orders, vendor invoices, and expense reports relating to shows and ensure all documents are in accordance with company policies   monitor sales and marketing results against established milestones and expense commitments relating to new show launches   review key business contracts related to events and provide guidance and information on financial and non-financial matters to event teams   manage onsite trade show financial needs which includes establishing banking requirements, preparing and reconciling financial documents onsite, and training and supervising cashiers and temporary help at the show   partner with and maintain professional relationships with key association and business partners within trade show events   created and implemented financial reports which detail customer packages sold by show teams.  these reports are mainly used by finance, sales and operations teams   redesigned and streamlined the show set up process that is used by finance, accounting, and sales departments   monitor accounts receivable and assist collections and sales with determining collectability   collaborate with reed exhibitions france on cross border events held in the u.s.  provide financial support on these events and assist with onsite 
event needs   assist in the interviewing process for new team members, as 
well as help train new staff accountants and finance managers within the
 department   streamlined and automated interim and year-end audit process
 for the finance and accounting departments which made it more effecient for the auditors to review reconciliations and financials          company name     june 2000   to   june 2001     portfolio administrator   city  ,   state      managed, tracked and ensured the integrity of financial data for over 70 portfolio companies communicated and interfaced with ceo, cfo, coo of the portfolio companies and discussed quarterly financial updates, stock splits, fundraising and cash flow   project manager for the company's quarterly meetings which entailed the maintenance and updating of information on the financial performance and the business status of the portfolio companies   analyzed financial statements and created reports for management which were used to formulate future investment strategies primary liaison between all levels of management of the portfolio companies and the private equity division of bowman capital.          company name     october 1998   to   june 2000     staff accountant   city  ,   state      prepared monthly, quarterly and yearly financial statements for consolidation process, which included the balance sheet, profit and loss statement and cash flow statement.  assisted in streamlining and automating our consolidation and reporting process using the peoplesoft system.  performed monthly financial statement analysis and account reconciliation's and developed and presented conclusions to management.  assisted investor relations by providing financial information to support sales press releases.          company name     october 1996   to   october 1998     advanced staff auditor   city  ,   state      performed financial statement audits for high-tech, food and beverage, financial services, health care, manufacturing and telecommunication clients.  identified accounting issues, utilized technical knowledge, research skills and analytical abilities to determine proper accounting treatment and ensure compliance with gaap.  analyzed internal control procedures to determine audit risk and to assist clients in strengthening their control procedures.  provided suggestion to management for improving their internal operations.  used strong organizational skills, detailed documentation and computer proficiency to record the procedures, results and conclusions of testwork.          education      university of massachusetts -amherst, ma     1996       bba  :   accounting     graduated cum laude  overall gpa: 3.3          skills      financial statement analysis, budgeting, forecasting, strategic planning, financial modeling, strong communication, interpersonal and organizational skills   computer skills in the following areas:  microsoft access, excel, microsoft office, microsoft outlook, powerpoint, microsoft word, onyx, peoplesoft, citrix",27-0000
54201930,"graphic designer       summary    ➢ while working as front desk receptionist at meyer sound, contributed to marketing team by updating and translating marketing materials, updating website, and improving sales collateral. promoted to marketing coordinator for latin america. ➢ contributed to substantial cost savings for meyer sound by creating ads for publication, editing graphics, and translating materials thereby eliminating the need to hire third-party agents to complete this work. ➢ researched vendors and negotiated service agreements to have marketing materials and swag for meyer sound produced in mexico reducing costs associated with importing these materials from the us.      highlights        * marketing strategy * project coordination * graphic design * branding * event planning * print production * social media * tradeshow coordination * marketing collateral development * press releases * copy writing/editing * web content management              experience     january 2014   to   current     company name   city  ,   state     graphic designer        restaurant consulting & management company developing design solutions to communicate each of the restaurant's unique message and promoting the brand with high visual impact. graphic design solutions for a variety of products and activities such as pop, websites, social media, email, promotions, product packaging, corporate communications & identity.  preparing, packaging & delivering production-ready art files.  creating creative templates for marketing needs  proofreading to produce accurate and high-quality work especially under challenging deadlines         january 2013   to   current        city  ,   state     graphic designer      design print materials, such as logos, stationery, flyers, and postcards. clients include: pembroke pr, main street property services, a grape in the fog, photoworks sf, progressive hounds, the handler brothers, otis beanery, mitzvites, pet nanny, district dogs, dog town, superfly pet supply, no time for cancer, meridian pro audio and promarket. paola trejo 2       january 2008   to   january 2013     company name   city       marketing coordinator, latin america      mexico city professional sound manufacturer worked directly with the company's headquarters in berkeley, ca. coordinated with marketing team to brainstorm strategies and finalize marketing plans. translated, maintained, and updated web content in spanish on a monthly basis. designed marketing materials, such as datasheets and brochures. created ads for publication in soundcheck magazine. wrote press releases. coordinated and led interviews. coordinated photo shoots. managed relationships with vendors. built and maintained productive relationships with customers. planned and coordinated events, including trade shows and demos. designed sales binder. collaborated on creation of presentations in keynote. designed and distributed monthly newsletter, e-blasts, and invitations. represented the company in corporate events, trade shows, marketing conferences and meetings.       january 2005   to   january 2008     company name   city       graphic designer        mexico city consumer goods advertising agency clinets include: rimmel london, dannon, sigma, sally hansen, palmer's.  produce design solutions to communicate clients' messages with high visual impact for a variety of products & activities.  layout, image manipulation, and prepress production for offset and digital color output. established design briefs and project time-lines. coordinated with external agencies. meeting clients to discuss their needs, objectives and budgets. designing and creating a wide variety of graphic art and promotional material. producing designs for both internal and external communications. involving customers in the design process. developing design briefs. explaining design concepts and ideas to clients and colleagues. providing graphical support for blogs, websites and social media. working on presentations, leaflets, trade-marks, marketing materials and banner designs. producing accurate and high-quality design work. examining design work for quality, consistency, and accuracy. creating a consistent corporate and brand identity for clients. preparing design files for production. taking design ideas from generation through to completion. generating multiple concepts for a campaign or project. working on projects to strict timescales. computer skills: illustrator | photoshop | indesign | dreamweaver | flash | premier | freehand graphics: logo design, editorial design, web design, illustration          education     2004     universidad del valle de méxico   city  ,     mx     bachelor of arts  :   graphic design    universidad del valle de méxico - mexico city 2004 bachelor of arts - graphic design        presentations    worked directly with the company's headquarters in berkeley, ca. coordinated with marketing team to brainstorm strategies and finalize marketing plans. translated, maintained, and updated web content in spanish on a monthly basis. designed marketing materials, such as datasheets and brochures. created ads for publication in soundcheck magazine. wrote press releases. coordinated and led interviews. coordinated photo shoots. managed relationships with vendors. built and maintained productive relationships with customers. planned and coordinated events, including trade shows and demos. designed sales binder. collaborated on creation of presentations in keynote. designed and distributed monthly newsletter, e-blasts, and invitations. represented the company in corporate events, trade shows, marketing conferences and meetings worked directly with the company's headquarters in berkeley, ca. coordinated with marketing team to brainstorm strategies and finalize marketing plans. translated, maintained, and updated web content in spanish on a monthly basis. designed marketing materials, such as datasheets and brochures. created ads for publication in soundcheck magazine. wrote press releases. coordinated and led interviews. coordinated photo shoots. managed relationships with vendors. built and maintained productive relationships with customers. planned and coordinated events, including trade shows and demos. designed sales binder. collaborated on creation of presentations in keynote      languages    spanish - native speaker | [and] translation: english/spanish and spanish/english [and] translation: english/spanish and spanish/english      skills    marketing, clients, ads, basis, sales, translated, solutions, advertising, brand identity, budgets, dreamweaver, flash, freehand, hansen, illustration, illustrator, indesign, logo design, photoshop, premier, prepress, promotional, web design, pr, public relations, graphic design, corporate communications, packaging, point of purchase, pop, proofreading, branding, content management, copy writing, event planning, front desk, marketing collateral, marketing strategy, receptionist, san, storage area network, tradeshow, translating, web content management",27-0000
47067533,"director, business development           summary    professional business development director firmed to meet sales objectives on regular basis by using strong leadership, interpersonal communication, presentational and organizational skills      highlights          microsoft office suite microsoft  crm dynamics  lams  webex  linkedin                experience      company name     january 2013   to   current     director, business development   city  ,   state      develop and execute a targeted business development plan to build a long-term pipeline develop and deliver polished proposals and pricing estimates on short notice to potential clients in the public and private healthcare sectors.  work collaboratively with the executive sales team to develop marketing campaigns, and new territories build relationships with key hospital executives and decision makers within prospective client organizations stay current on healthcare industry trends and personnel moves among prospect organizations identifying prospective clients using established lead methodologies manage a business development team of 10 people.   increased monthly prospect by [number]% by implementing strategies to develop and expand existing customer base.         company name     january 2011   to   january 2013     call center manager   city  ,   state      accept and handle supervisory requests and calls from staff and customers.  provide the call center director with all information about any extraordinary situations.  ensure that the call center representatives follows call procedures at all times and enforce all department and company policies.  collaborate with the call center director in the development and implementation of any training for newly hired and existing call center representatives.  act as a resource for the call center representatives.  maintain accurate performance evaluations of the call center representatives by reviewing message history, call history, and recorded calls.  coordinate outside sales calendars with scheduling requests and call que assignments.  provide back-up support to the call center director as necessary.  assist in the hiring process of call center representatives.          company name     january 2009   to   january 2011     director   city  ,   state      generate new business via email campaign, cold calling, social networking, and other online resources and utilize market knowledge and industry contacts to grow global orientations business.  build relationships with key human resource professionals, global mobility and relocation decision makers within prospective client organizations.  identify and penetrate new contacts, accounts, and broadening the range of business in existing accounts.  track and communicate competitive factors, trends, and issues affecting purchase decisions for my team and i assigned regions.  develop and grow a new business pipeline and relentlessly pursue opportunities to broaden our markets.  research and develop strategies to identify new customers, sales opportunities and new service development and collaborate with marketing to execute on these strategies.  create and deliver compelling, customized webex sales presentations that address the core business challenges and opportunities faced by the prospect.  negotiate and finalize agreements/contracts with clients, and close sales.  coach and manage the inside sales team of seven.  recruited and managed a network of 60 realtors.          company name     january 2007   to   january 2009     business development manager, team leader   city  ,   state      conduct heavy outbound b2b calling to enterprise and strategic enterprise organizations for direct lead generation and setting up webex presentations to high level executives.  develop high level relationships with ceo's, cfo's, coo's, and cto's.  strong focus on building the pipeline and getting prospects into the pipeline for future revenue generation by identifying key contacts and acquiring key lead criteria for each account.  qualified new business opportunities by identifying how our professional solutions align with their business needs, and closing the sale.  work with senior management team to define key business development strategies and initiatives.  qualify existing leads via email campaign, as well as develop and maintain prospect lists in sales force database.  generate proposals, negotiate contract terms and close sales.  develop and manage the business development team.  submit weekly status update and monthly prospect report to vp of sales and vp of marketing.          education           1 1       wgu      city  ,   state              university of potomac college     1 2013       bachelors of sales  :   sales management      state      sales management        university of potomac college     1 2011       bachelors of science  :   business management      state      business management 35 credits        belford high school     1 2002       associates of science  :   business management      state      gpa:   gpa: 3.3    business management gpa: 3.3        high school diploma              skills    b2b, back-up, business development, call center, closing, coach, cold calling, competitive, contracts, crm, client, clients, database, email, senior management, focus, hiring, human resource, inside sales, director, marketing, market, microsoft office suite, enterprise, network, networking, outside sales, personnel, policies, presentations, pricing, proposals, research, sales, scheduling, strategic, supervisory",27-0000
16620172,"account representative         professional summary    i am a social media and public relations professional, experienced in creating direct-to-consumer and internal communications for global brands. i am also the founder of @wandering_for_eats, a foodie instagram brand with over 3.5k followers and multiple partnerships with local businesses in hudson county, new jersey.      skills          social media strategy digital marketing content development  copywriting photo editing microsoft office suite  ads  c  content  content development  copywriting  client  delivery  email  finance  financial  leadership  letters      marketing strategy  marketing  materials  meetings  microsoft office suite  network  photo editing  profit  proposals  quick  recruitment  research  sales  stories  strategy  television  articles            work history      04/2016   to   current     company name          organically increased instagram following over 200% from 1k to 3.5k in the past four months, and achieved an average engagement rate of 12.2%.  continuously growing followers by optimizing my social media strategy.  collaborate with brands and local restaurants on sponsored posts, including creating content and copy, photo editing, and quick and informative engagement with the audience of each post.  produce weekly sponsored “snack hack” videos published on my instagram story in collaboration with a local food delivery service, and provide weekly analytics reports to the brand's marketing manager.  research local restaurants and create value-added content for daily instagram stories and feed posts.         account representative  ,     03/2019   to   05/2020     company name   –   city  ,   state      developed campaign materials including social media plans with paid twitter ads, program announcements, pitch letters, and satellite media tour alert copy for multiple johnson & johnson pharmaceutical brands.  created internal communications for janssen, including daily media monitoring reports for c-suite executives, company-wide emails, linkedin articles published by leadership, training videos, and internal television slides
•provided updates on running projects and set project-based goals in weekly client meetings.  compiled research on pharmaceutical brands and their campaigns to find new business opportunities.         management trainee  ,     06/2016   to   10/2018     company name   –   city  ,   state      led operations of 4 café departments concurrently, including overseeing 4 team leaders and 30+ employees.  successfully planned and led café operations for super bowl 2018 and catering operations for thanksgiving 2017, increasing sales 40% year-to-year and ranking #2 in the company for sales, respectively.  trained 10+ managers and 50+ employees for 2 store openings and led teams for the first month of openings.         human resource and recruiting intern  ,     01/2015   to   12/2015     company name   –   city  ,   state      created and implemented social media network growth plans for 5 financial advisors via linkedin.  secured over 10 interviews per week for advisor candidates, via email marketing strategy that i curated.  founded the women in finance internship to drive recruitment of entry-level women financial advisors.  developed and pitched grant and internship program proposals for non-profit and corporate funding, securing over $6k in funding.         education      master's degree  :   communication and media studies  ,   05/2018     rutgers university   -   city  ,   state    gpa: 3.83       bachelor's degree  :   communication and women's & gender studies  ,   05/2016     institute for women's leadership   -   city  ,   state           leadership scholars certificate  :     05/2016           work history        04/2016   to   current     company name          organically increased instagram following over 200% from 1k to 3.5k in the past four months, and achieved an average engagement rate of 12.2%.  continuously growing followers by optimizing my social media strategy.  collaborate with brands and local restaurants on sponsored posts, including creating content and copy, photo editing, and quick and informative engagement with the audience of each post.  produce weekly sponsored “snack hack” videos published on my instagram story in collaboration with a local food delivery service, and provide weekly analytics reports to the brand's marketing manager.  research local restaurants and create value-added content for daily instagram stories and feed posts.         account representative  ,   03/2019   to   05/2020     company name   –   city  ,   state      developed campaign materials including social media plans with paid twitter ads, program announcements, pitch letters, and satellite media tour alert copy for multiple johnson & johnson pharmaceutical brands.  created internal communications for janssen, including daily media monitoring reports for c-suite executives, company-wide emails, linkedin articles published by leadership, training videos, and internal television slides
•provided updates on running projects and set project-based goals in weekly client meetings.  compiled research on pharmaceutical brands and their campaigns to find new business opportunities.         management trainee  ,   06/2016   to   10/2018     company name   –   city  ,   state      led operations of 4 café departments concurrently, including overseeing 4 team leaders and 30+ employees.  successfully planned and led café operations for super bowl 2018 and catering operations for thanksgiving 2017, increasing sales 40% year-to-year and ranking #2 in the company for sales, respectively.  trained 10+ managers and 50+ employees for 2 store openings and led teams for the first month of openings.         human resource and recruiting intern  ,   01/2015   to   12/2015     company name   –   city  ,   state      created and implemented social media network growth plans for 5 financial advisors via linkedin.  secured over 10 interviews per week for advisor candidates, via email marketing strategy that i curated.  founded the women in finance internship to drive recruitment of entry-level women financial advisors.  developed and pitched grant and internship program proposals for non-profit and corporate funding, securing over $6k in funding.         skills     social media strategy digital marketing content development  copywriting photo editing microsoft office suite,  ads, c, content, content development, copywriting, client, delivery, email, finance, financial, leadership, letters, marketing strategy, marketing, materials, meetings, microsoft office suite, network, photo editing, profit, proposals, quick, recruitment, research, sales, stories, strategy, television, articles",27-0000
91467795,"business development consultant       summary    experienced life science sales and marketing specialist with track record in growing customer base and
maximizing sales. motivated and ambitious with ability to increase business opportunities through dynamic
marketing strategies and effective communication. able to use analytical skills and industry knowledge to develop
innovative strategies for success.      skills          business development  account management  competitive analysis  prospecting/cold calling  knowledge of drug development cycle  sales and marketing strategizing      market research and analysis   marketing management   event planning  c-level presentations  rfp/rfi/bid preparation  public relations            experience      business development consultant     mar 2018   to   current      company name   －   city  ,   state    sgw pharma marketing is a b2b life science marketing agency focused on connecting drug development companies with target audiences (development partners, investors, service providers etc.) by developing and managing integrated, full circle marketing programs .   oversaw business, client and vendor negotiations.  effectively directed internal marketing, communications and sales support staff.  improved marketing plans, sales strategies and customer relations to maximize business development.  leveraged industry trends in client markets to shape value-added solutions and approaches for key audiences.  streamlined operational efficiencies, developed sales tracking reports for planning by executive team.  maintained strong understanding of competitors, their offerings and their presence across globe.         account executive     oct 2017   to   feb 2018      company name   －   city  ,   state    american laboratory trading provides asset management services and high-quality refurbished laboratory.equipment to clients in the life science academia and industry   promoted business growth in nc by maximizing existing client relationships and identifying new business opportunities through cold calling, networking, marketing and prospective database leads  completed daily outbound calls, up to 50 calls per day  discovered new opportunities to grow and expand inventory of products through product acquisition  successfully increased monthly sales revenue by 75% each month  kept detailed records of daily activities and client relations through salesforce.com         southeast sales executive     apr 2016   to   sep 2017      company name   －   city  ,   state    sgs life science services is a global leader in r&d and quality control testing services for the pharmaceutical, medical device and biopharmaceutical industries.    prospected and conducted more than 45 face-to-face sales calls per month with business executives and directors throughout assigned territory.  successfully acquired average of 1.5 new customers per month achieving 108% of total revenue target for 2016.  represented the company at focused industry trade show and/or networking events.  attended monthly sales meetings and quarterly sales training.         manager, business development     feb 2013   to   apr 2016      company name   －   city  ,   state    advantar labs (now part of eurofins) is a gmp contract laboratory specializing in small and large molecule drug development programs.   secured new business by building strong client relationships and cultivating a deep understanding of sponsor needs.  initiated two key partnerships which resulted in 47% revenue growth.  successfully developed and planned relationship cultivating events to promote growth resulting in expansion of clientele base by 35%.  developed innovative and targeted marketing strategies to support overall branding objectives.  played key role in the addition and launch of new service offerings  maintained up-to-date knowledge of industry, target accounts and competitive landscape.         account manager i     sep 2011   to   feb 2013      company name   －   city  ,   state    cirrus pharmaceuticals (now recipharm) is a contract product development company assisting biotechnology and pharmaceutical companies with dosage form development projects, specifically inhaled dose products.   developed strategies to drive partnering with 8 new clients in 2012 and grew underdeveloped territory with no existing contacts or leads.  represented company at professional trade shows and conferences as subject matter expert; held information sessions and made presentations to win new business  identified and grew an adjacent, untapped market.  able to secure new business within 4 months of starting role  served as liaison between customer and cirrus' project management team, scientific leaders and executive management to allow for seamless project initiation         sales consultant     apr 2011   to   sep 2011      company name   －   city  ,   state    tarheel media solutions provides marketing and advertising solutions to small businesses in north carolina.   established new customer accounts through perseverance, dedicated cold calling and exceptional service.  demonstrated products to show potential customers benefit/advantages and encourage purchases.  researched and customized service proposals for clients.  consistently met and exceeded sales goals by 20%.         fundraising and marketing intern     oct 2010   to   mar 2011      company name   －   city  ,   state    the muscular dystrophy association is a nonprofit health agency dedicated to curing muscular dystrophy, als and related diseases by funding worldwide research   supported fundraising director in organization and management of all activities associated with community fundraising events.  cultivated relationships with community leaders, businesses and local citizens in effort to draw attention to mda and add new donors/volunteers.  gathered and analyzed cultural, educational, social and demographic data about the community to guide local program development.         education and training      bachelor of science  ,   chemistry   2009     university of north carolina wilmington   －   city  ,   state  ,   united states     minor in spanish  gpa 3.45         skills     proficient with salesforce, oracle, act!, sharpspring, microsoft office, mailchimp, pardot, yammer, google chrome, skype business, goto meeting, linkedin, twitter, marketing automation software, lead generation software, crm systems, concepts & applications of chemistry, contract research, analytical lab equipment",27-0000
